acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,valence,year,cluster
0.991,['Mamie Smith'],0.598,168333,0.224,0,0cS0A1fUEUd1EW3FcF8AEI,0.000522,5,0.379,-12.628,0,12,1920,0.0936,149.976,0.634,1920,7
0.643,"[""Screamin' Jay Hawkins""]",0.852,150200,0.517,0,0hbkKFIJm7Z05H8Zl9w30f,0.0264,5,0.0809,-7.261,0,7,1920-01-05,0.0534,86.889,0.95,1920,7
0.993,['Mamie Smith'],0.647,163827,0.18600000000000005,0,11m7laMUgmOKqI3oYzuhne,1.76e-05,0,0.519,-12.098,1,4,1920,0.174,97.6,0.6890000000000001,1920,4
0.000173,['Oscar Velazquez'],0.73,422087,0.7979999999999999,0,19Lc5SfJJ5O1oaxY0fpwfh,0.8009999999999999,2,0.128,-7.311,1,17,1920-01-01,0.0425,127.997,0.0422,1920,10
0.295,['Mixe'],0.7040000000000001,165224,0.7070000000000001,1,2hJjbsLCytGsnAHfdsLejp,0.000246,10,0.402,-6.0360000000000005,0,2,1920-10-01,0.0768,122.076,0.299,1920,5
0.996,['Mamie Smith & Her Jazz Hounds'],0.424,198627,0.245,0,3HnrHGLE9u2MjHtdobfWl9,0.799,5,0.235,-11.47,1,9,1920,0.0397,103.87,0.477,1920,21
0.992,['Mamie Smith'],0.782,195200,0.0573,0,5DlCyqLyX2AOVDTjjkDZ8x,1.61e-06,5,0.17600000000000002,-12.453,1,5,1920,0.0592,85.652,0.487,1920,4
0.996,['Mamie Smith & Her Jazz Hounds'],0.474,186173,0.239,0,02FzJbHtqElixxCmrpSCUa,0.18600000000000005,9,0.195,-9.712,1,0,1920,0.0289,78.78399999999998,0.366,1920,26
0.996,['Francisco Canaro'],0.469,146840,0.238,0,02i59gYdjlhBmbbWhf8YuK,0.96,8,0.149,-18.717,1,0,1920-07-08,0.0741,130.06,0.621,1920,21
0.0068200000000000005,['Meetya'],0.5710000000000001,476304,0.753,0,06NUxS2XL3efRh0bloxkHm,0.873,8,0.092,-6.943,1,0,1920-01-01,0.0446,126.993,0.119,1920,10
0.952,['Dorville'],0.688,150067,0.22,0,07jrRR1CUUoPb1FLfSy9Jh,0.0,6,0.262,-15.208,0,0,1920,0.845,82.024,0.414,1920,6
0.996,['Francisco Canaro'],0.579,167213,0.35600000000000004,0,0ANuF7SvPeIHanGcCpy9jR,0.948,10,0.174,-14.574000000000002,1,0,1920-07-08,0.0394,131.494,0.703,1920,21
0.992,['Ka Koula'],0.353,285707,0.396,0,0BEO6nHi1rmTOPiEZvCIDW,0.924,1,0.312,-14.053,1,0,1920-01-01,0.0447,111.268,0.5660000000000001,1920,21
0.00478,['Justrock'],0.643,304078,0.998,0,0DH1IROKoPK5XTglUt9Pq0,0.476,1,0.105,-6.12,1,0,1920-01-01,0.0566,124.018,0.639,1920,10
0.993,['Takis Nikolaou'],0.453,255520,0.41,0,0HVjPaxbyfFcg8Rh0plyo5,0.16,2,0.292,-10.469,1,0,1920-01-01,0.044,67.271,0.894,1920,4
0.979,['Aggeliki Karagianni'],0.525,258167,0.433,0,0Hn7LWy1YcKhPaA2NItG9K,0.111,2,0.134,-11.425999999999998,1,0,1920-01-01,0.0488,102.578,0.792,1920,4
0.972,['Giorgos Katsaros'],0.528,277720,0.325,0,0I6DjrEfd3fKFESHEjnelr,0.0234,11,0.102,-12.508,1,0,1920-01-01,0.0421,118.562,0.146,1920,26
0.996,['Francisco Canaro'],0.468,177427,0.5329999999999999,0,0KGiP9EW1xtojDHsTGARL5,0.87,1,0.179,-11.002,1,0,1920-07-08,0.0452,136.57299999999998,0.728,1920,21
0.75,['Giorgos Katsaros'],0.528,278813,0.456,0,0KNI2d7l3ByVHU0g2aW3P0,0.439,2,0.102,-12.151,1,0,1920-01-01,0.0371,112.817,0.493,1920,21
0.993,['Amalia Vaka'],0.397,258160,0.484,0,0LYNwxHYHPW256lO2phedM,0.179,5,0.327,-11.892,0,0,1920-01-01,0.0498,65.485,0.515,1920,7
0.0239,['Ron van der Kraan'],0.7440000000000001,215773,0.428,0,0MwMyEO5AxYpghTU6gB85H,3.07e-05,9,0.106,-21.081,1,8,1920-01-03,0.0376,140.011,0.578,1920,4
0.939,"[""Vasílis Besíris 'Tourkovasílis'""]",0.465,208347,0.611,0,0OM9aSti0UOwN9yuz1m85y,0.8859999999999999,2,0.145,-11.701,1,0,1920-01-01,0.0469,93.128,0.8029999999999999,1920,21
0.0808,['Tr0ma'],0.389,774360,0.81,0,0RdLX7r5HrPOGQabZIjCfi,0.918,1,0.332,-11.132,1,0,1920-01-01,0.109,161.322,0.071,1920,9
0.0105,['Ron van der Kraan'],0.763,324333,0.363,0,0Rfu6umKtRBny2reKydNph,0.0,10,0.0956,-21.045,0,1,1920-01-03,0.16899999999999998,88.007,0.447,1920,7
1.16e-05,['Oscar Velazquez'],0.568,386287,0.7290000000000001,0,0TIfXVGqyiOTuWkuxEzQzc,0.912,2,0.0613,-8.293,1,3,1920-01-01,0.0312,129.987,0.175,1920,10
0.25,['Jodoli'],0.521,142445,0.7759999999999999,0,0TT2zA8fatUuvTnPABz3lS,0.00088,1,0.175,-7.919,1,0,1920-01-29,0.268,159.775,0.5670000000000001,1920,0
0.959,['Athanasía Alexandropoúlou'],0.603,214773,0.3720000000000001,0,0UYplqEm5qa4hkEo64C0TW,0.0129,8,0.174,-12.666,0,0,1920-01-01,0.0741,118.351,0.901,1920,7
0.984,['Dick Haymes'],0.269,181200,0.255,0,0UztrUuVBPMn7cEys3LWQ4,0.00263,0,0.17800000000000002,-9.041,1,0,1920,0.0536,79.186,0.154,1920,13
0.381,['ST'],0.936,166113,0.3720000000000001,1,0XGoQAeP51ySJbtqXhuJrl,0.0,0,0.083,-11.634,1,0,1920,0.455,133.047,0.222,1920,24
0.984,['Manolis Karapiperis'],0.58,267560,0.422,0,0YCVsd1quXrjZWIiROp1vw,0.7879999999999999,8,0.34700000000000003,-12.542,1,0,1920-01-01,0.0385,110.562,0.6679999999999999,1920,21
0.944,['Félix Mayol'],0.6559999999999999,171200,0.292,0,0YHjhp3fj1IgLFtDsw8v3M,0.0,1,0.234,-13.597,1,0,1920,0.126,127.325,0.723,1920,4
0.0323,['Meetya'],0.6970000000000001,489012,0.617,0,0Yt4hib6XmdB0YOkVl3QoL,0.902,11,0.149,-9.51,0,0,1920-01-01,0.0609,133.982,0.321,1920,10
0.996,['Maurice Chevalier'],0.613,178133,0.274,0,0Z6sMDs4BqsNshmprUBWGT,0.428,8,0.172,-14.884,1,0,1920,0.225,64.75,0.769,1920,4
0.0397,['David Daniells'],0.369,162000,0.321,0,0aeTGPtEdNsqGDn3cqcS7l,0.0,11,0.309,-12.427,1,0,1920-04-01,0.0278,68.28699999999999,0.303,1920,26
0.021,"[""The Swingin' Bachelors""]",0.5589999999999999,288293,0.83,0,0bq1lNI8OPhdRQYZZSSnQk,0.146,11,0.187,-7.876,0,0,1920-02-29,0.0546,107.912,0.35200000000000004,1920,20
0.00397,['Ron van der Kraan'],0.6409999999999999,257667,0.292,0,0cU0Kxxk3w3HNDhv8m0cLf,0.000121,8,0.35600000000000004,-22.969,1,1,1920-01-03,0.0571,179.967,0.752,1920,0
0.79,"[""The Swingin' Bachelors""]",0.745,261013,0.7909999999999999,0,0e0zhCKclqwgJgA7Tjg2ca,0.0,7,0.102,-8.584,1,0,1920-02-29,0.0595,120.169,0.6579999999999999,1920,4
0.00744,['Ron van der Kraan'],0.737,225707,0.328,0,0gIniSwikXODTBupqYPCI1,1.64e-06,0,0.0765,-18.8,1,0,1920-01-03,0.0526,172.025,0.7979999999999999,1920,0
0.0017399999999999998,['Meetya'],0.602,496170,0.5920000000000001,0,0gmSdjhXEjlLVJh32Ii6Az,0.898,1,0.108,-10.421,1,0,1920-01-01,0.0439,133.99200000000002,0.396,1920,10
0.31,['biex'],0.639,180000,0.552,0,0h3qkb5rHEVsQm9JeySob5,0.855,11,0.135,-13.446,0,0,1920-06-26,0.0374,127.952,0.764,1920,16
0.995,"['Mamie Smith', 'The Harlem Trio']",0.482,198000,0.229,0,0lqEx4vktZP1y9hnwfF27Y,6.05e-05,7,0.5489999999999999,-12.619000000000002,1,4,1920,0.0812,77.232,0.461,1920,29
0.986,['Esther Lekain'],0.6409999999999999,179160,0.16899999999999998,0,0ojvOshbJWnvrcPRgLVtg2,0.0,7,0.0706,-13.139,1,0,1920,0.13,116.249,0.687,1920,4
0.995,['Mamie Smith & Her Jazz Hounds'],0.534,176360,0.191,0,0sj3QeaCpacCfxL4c5TQBl,0.0982,7,0.805,-12.889,0,0,1920,0.0508,70.059,0.605,1920,29
0.083,"['Broke God', 'Pcxix']",0.84,229695,0.7240000000000001,1,0tOhG2JieOnLL8XSCdoKcE,0.0,1,0.184,-5.492000000000001,1,0,1920-05-16,0.251,110.105,0.59,1920,14
0.000103,['Two Charming Men'],0.779,375015,0.7240000000000001,0,0vhLeFi24U1oYB0odNNVV3,0.887,11,0.123,-7.372999999999997,0,0,1920-01-01,0.0482,128.004,0.226,1920,10
1.75e-05,['Tr0ma'],0.49,454776,0.922,0,0w1niwodVUkILevvugjgNa,0.855,1,0.123,-11.961,1,0,1920-01-01,0.0771,158.049,0.264,1920,10
0.147,"[""The Swingin' Bachelors""]",0.603,235547,0.7190000000000001,0,0xKe1lGyWBuk3lx3JIUUUx,0.0,0,0.111,-5.464,0,0,1920-02-29,0.0271,92.01,0.6970000000000001,1920,25
0.3670000000000001,"[""The Swingin' Bachelors""]",0.716,264240,0.836,0,11rj3RWlVnnxW0EL7jwN8R,5.81e-06,9,0.191,-6.099,1,0,1920-02-29,0.0451,105.986,0.635,1920,4
